Name,Domain,Email,ID
acs,advmail.georgetown.edu,acs@advmail.georgetown.edu,60
advancementevents,advmail.georgetown.edu,advancementevents@advmail.georgetown.edu,61
alumnlaw,advmail.georgetown.edu,alumnlaw@advmail.georgetown.edu,62
ClubofDC,advmail.georgetown.edu,ClubofDC@advmail.georgetown.edu,63
giftplanning,advmail.georgetown.edu,giftplanning@advmail.georgetown.edu,64
giving,advmail.georgetown.edu,giving@advmail.georgetown.edu,65
guaanominations,advmail.georgetown.edu,guaanominations@advmail.georgetown.edu,66
guevents,advmail.georgetown.edu,guevents@advmail.georgetown.edu,67
libraryassociates,advmail.georgetown.edu,libraryassociates@advmail.georgetown.edu,68
mmevents,advmail.georgetown.edu,mmevents@advmail.georgetown.edu,69
newsinbrief,advmail.georgetown.edu,newsinbrief@advmail.georgetown.edu,70
presidentsoffice,advmail.georgetown.edu,presidentsoffice@advmail.georgetown.edu,71
